Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/09/01 00:23,10,8003F8010,10,8003F8010,6.61,US Dollar,6.61,US Dollar,Reinvestment,0
2022/09/01 00:13,3232,800106580,3232,800106580,765.86,US Dollar,765.86,US Dollar,Reinvestment,0
2022/09/01 00:05,1292,8003362A0,1292,8003362A0,16.19,US Dollar,16.19,US Dollar,Reinvestment,0
2022/09/01 00:24,10,8001E1CF0,10,80021BC80,1670291.0,US Dollar,1670291.0,US Dollar,Cheque,0
2022/09/01 00:01,1,800174E90,1,800324010,2241.71,US Dollar,2241.71,US Dollar,Cheque,0
2022/09/01 00:22,1362,80030A870,1362,80030A870,52.11,Euro,61.06,US Dollar,ACH,0
2022/09/01 00:22,10,80024D950,10,80024D950,18.33,US Dollar,18.33,US Dollar,Reinvestment,0
2022/09/01 00:12,513,8003E0790,513,8003E0790,582955.92,US Dollar,582955.92,US Dollar,Reinvestment,0
2022/09/02 19:34,3229,803FF9220,220271,81114D580,10295.53,US Dollar,10295.53,US Dollar,ACH,1
2022/09/01 00:14,1362,800338250,1362,800338250,51146.32,US Dollar,51146.32,US Dollar,Reinvestment,0
2022/09/03 05:06,24482,801C0F2B0,214,80C1B9E20,333126.09,Mexican Peso,333126.09,Mexican Peso,ACH,1
2022/09/01 00:06,10,800324A00,10,800324A00,136568.45,US Dollar,136568.45,US Dollar,Reinvestment,0
2022/09/01 00:03,1,8002BAD30,1,8002BAD30,6392.09,US Dollar,6392.09,US Dollar,Reinvestment,0
2022/09/01 00:18,12,80018EE40,10,800194520,5565.2,US Dollar,5565.2,US Dollar,Wire,0
2022/09/01 00:09,1,800134D30,1,800134D30,169103.95,US Dollar,169103.95,US Dollar,Reinvestment,0
2022/09/01 00:15,10,800105D30,10,800105D30,19.8,US Dollar,19.8,US Dollar,Reinvestment,0
2022/09/01 00:04,12,80013BCB0,12,80013BCB0,843085.95,US Dollar,843085.95,US Dollar,Reinvestment,0
2022/09/01 00:11,1,800A5F020,1420,8006A3840,1210984.0,US Dollar,1210984.0,US Dollar,ACH,0
2022/09/01 00:24,3701,8003BD9C0,513,8003BE4B0,2513.24,US Dollar,2513.24,US Dollar,Cheque,0
2022/09/01 00:09,1292,8003E21B0,1292,8003E21B0,17.58,US Dollar,17.58,US Dollar,Reinvestment,0
2022/09/01 00:16,220,8001A7890,220,8001A7890,21510.29,US Dollar,21510.29,US Dollar,Reinvestment,0
2022/09/01 00:10,3704,8003C3050,3704,8003C3050,24222.85,US Dollar,24222.85,US Dollar,Reinvestment,0
2022/09/01 00:11,1674,800413A70,1674,800413A70,23379.08,US Dollar,23379.08,US Dollar,Reinvestment,0
2022/09/01 00:20,3247,80028B4A0,3247,80028B4A0,2079.28,US Dollar,2079.28,US Dollar,Reinvestment,0
2022/09/01 00:10,1601,800417F20,1601,800417F20,1431.89,US Dollar,1431.89,US Dollar,Reinvestment,0
2022/09/01 01:53,118180,806B9FA20,117143,806C5E8E0,174293.74,Ruble,174293.74,Ruble,ACH,1
2022/09/01 00:27,1467,800268E80,1467,800268E80,302209.88,US Dollar,302209.88,US Dollar,Reinvestment,0
2022/09/01 00:14,10,80018DBD0,1,800256410,409.45,US Dollar,409.45,US Dollar,Cash,0
2022/09/01 00:07,1,80005E740,220,8001E8C30,8897.89,US Dollar,8897.89,US Dollar,Credit Card,0
2022/09/01 02:52,20,80BC62F10,240229,80F025640,7332.87,Swiss Franc,7332.87,Swiss Franc,ACH,1
2022/09/01 00:24,1292,80019AAF0,2952,80539CF20,2.56,US Dollar,2.56,US Dollar,Credit Card,0
2022/09/01 00:20,220,800250820,220,800250820,222984.76,US Dollar,222984.76,US Dollar,Reinvestment,0
2022/09/01 00:19,220,8001908C0,220,8001908C0,18.12,US Dollar,18.12,US Dollar,Reinvestment,0
2022/09/01 00:24,1,800222230,1,800222230,19453.7,US Dollar,19453.7,US Dollar,Reinvestment,0
2022/09/01 00:09,1,8000F7850,1467,80027F1C0,3044.97,US Dollar,3044.97,US Dollar,Credit Card,0
2022/09/01 00:17,10,8001551C0,10,8001551C0,1009893.58,US Dollar,1009893.58,US Dollar,Reinvestment,0
2022/09/01 00:01,1601,8003B68B0,1601,8003B68B0,818557.95,US Dollar,818557.95,US Dollar,Reinvestment,0
2022/09/01 00:22,1,800174E90,1,800324010,464.54,US Dollar,464.54,US Dollar,Credit Card,0
2022/09/01 00:08,10,800279310,10,800279310,8.17,US Dollar,8.17,US Dollar,Reinvestment,0
2022/09/01 00:28,1,800059440,1,800059440,13.94,US Dollar,13.94,US Dollar,Reinvestment,0
2022/09/01 00:21,10,8005F0B50,13327,810B0FB40,86.3,US Dollar,86.3,US Dollar,Credit Card,0
2022/09/01 00:28,70,100428660,1467,80041C090,27598.85,US Dollar,27598.85,US Dollar,Credit Card,0
2022/09/01 00:13,1,8000EDBB0,1,8000EDBB0,14.62,US Dollar,14.62,US Dollar,Reinvestment,0
2022/09/01 00:08,1292,800194E00,1292,800194E00,339207.48,US Dollar,339207.48,US Dollar,Reinvestment,0
2022/09/01 00:00,1,80005C0A0,1588,8003AC470,427.27,US Dollar,427.27,US Dollar,ACH,0
2022/09/01 00:24,1,80019A020,1,800139D10,8942.79,US Dollar,8942.79,US Dollar,Credit Card,0
2022/09/01 00:17,10,80014E900,10,80014E900,23.7,US Dollar,23.7,US Dollar,Reinvestment,0
2022/09/01 00:13,220,8001533D0,220,8001533D0,1150.3,US Dollar,1150.3,US Dollar,Reinvestment,0
2022/09/04 01:29,6179,802D53D80,240229,80EE2B9B0,14199.39,Swiss Franc,14199.39,Swiss Franc,ACH,1
2022/09/01 00:06,1292,8001CA830,10,8003B5DC0,9106.46,US Dollar,9106.46,US Dollar,Credit Card,0
2022/09/01 00:27,220,8003A1C90,220,8003A1C90,17.94,US Dollar,17.94,US Dollar,Reinvestment,0
2022/09/01 00:08,1,8000ECD60,1,8000ECD60,462.12,US Dollar,462.12,US Dollar,Reinvestment,0
2022/09/01 00:09,1467,8003288A0,1467,8003288A0,919.52,US Dollar,919.52,US Dollar,Reinvestment,0
2022/09/01 00:12,10,800056660,10,800056660,297.27,US Dollar,297.27,US Dollar,ACH,0
2022/09/01 00:13,3433,800222790,3433,800222790,6308.99,US Dollar,6308.99,US Dollar,Reinvestment,0
2022/09/01 00:12,10,8003E5E20,10,8003E5E20,21.66,US Dollar,21.66,US Dollar,Reinvestment,0
2022/09/01 00:01,1362,800304EA0,1362,800304EA0,3990.19,US Dollar,3990.19,US Dollar,Reinvestment,0
2022/09/01 00:13,3429,8003D2CF0,3429,8003D2CF0,1000.03,US Dollar,1000.03,US Dollar,Reinvestment,0
2022/09/01 00:22,10,8002CE2C0,10,8002CE2C0,15.75,US Dollar,15.75,US Dollar,Reinvestment,0
2022/09/01 00:10,1,800128AC0,10,80012AB70,10770.88,US Dollar,10770.88,US Dollar,Cheque,0
2022/09/01 00:16,10,80034F190,10,80034F190,6521.67,US Dollar,6521.67,US Dollar,Reinvestment,0
2022/09/01 00:08,70,100428660,12,8001A8EB0,245677.91,US Dollar,245677.91,US Dollar,Cheque,0
2022/09/01 00:25,10,8003BAB40,10,8003BAB40,24.76,US Dollar,24.76,US Dollar,Reinvestment,0
2022/09/01 00:02,1,80028C950,1,80028C950,75753.95,US Dollar,75753.95,US Dollar,Reinvestment,0
2022/09/01 00:02,3429,800418810,3429,800418810,1758.34,US Dollar,1758.34,US Dollar,Reinvestment,0
2022/09/01 00:02,12,8003DA180,19329,803CAA8A0,6.99,US Dollar,6.99,US Dollar,Credit Card,0
2022/09/01 00:17,70,100428660,12,80025BBB0,9272.86,US Dollar,9272.86,US Dollar,Credit Card,0
2022/09/01 00:22,1362,800392D50,1362,800392D50,4.59,US Dollar,4.59,US Dollar,Reinvestment,0
2022/09/01 00:04,1,8000F47F0,1,8000F47F0,9.38,US Dollar,9.38,US Dollar,Reinvestment,0
2022/09/01 00:21,3429,800392B70,3429,800392B70,197.15,US Dollar,197.15,US Dollar,Reinvestment,0
2022/09/01 00:16,3239,80032A4D0,3239,80032A4D0,3539.06,US Dollar,3539.06,US Dollar,Reinvestment,0
2022/09/01 00:05,10,800137A80,10,800137A80,6089.46,US Dollar,6089.46,US Dollar,Reinvestment,0
2022/09/01 00:09,1,8001D1F20,1362,80034C6F0,58999.57,US Dollar,58999.57,US Dollar,Cheque,0
2022/09/01 00:17,1,800263180,1,800263180,25360.7,US Dollar,25360.7,US Dollar,Reinvestment,0
2022/09/01 00:03,1292,8001DA790,1292,8001DA790,24.97,US Dollar,24.97,US Dollar,Reinvestment,0
2022/09/01 00:06,220,800119BA0,220,800119BA0,484747.77,US Dollar,484747.77,US Dollar,Reinvestment,0
2022/09/01 00:13,12,8001E0160,1420,8003BA850,26077.46,US Dollar,26077.46,US Dollar,Cheque,0
2022/09/01 00:14,10,8001E8240,10,8001E8240,281895.42,US Dollar,281895.42,US Dollar,Reinvestment,0
2022/09/01 00:27,220,8001316A0,220,8001316A0,19.83,US Dollar,19.83,US Dollar,Reinvestment,0
2022/09/01 00:27,513,8003E12C0,1362,8003D80B0,481015.0,US Dollar,481015.0,US Dollar,Cheque,0
2022/09/01 18:17,22806,807A61380,6179,802D53D80,16345.56,US Dollar,16345.56,US Dollar,ACH,1
2022/09/01 00:20,10,80005B110,10,80021ADE0,4432.21,US Dollar,4432.21,US Dollar,Wire,0
2022/09/01 00:02,1467,800391E80,1467,800391E80,20005.38,US Dollar,20005.38,US Dollar,Reinvestment,0
2022/09/01 00:17,12,800229520,10,8003A8AB0,15094.63,US Dollar,15094.63,US Dollar,Credit Card,0
2022/09/01 00:21,1665,8003CFC30,1665,8003CFC30,3.46,US Dollar,3.46,US Dollar,Reinvestment,0
2022/09/01 00:05,1292,80034F370,1292,80034F370,1862.68,US Dollar,1862.68,US Dollar,Reinvestment,0
2022/09/01 00:18,3601,8003F1EA0,1467,8003E6470,17074.62,US Dollar,17074.62,US Dollar,ACH,0
2022/09/01 00:00,3284,800146EE0,3284,800146EE0,12971.84,US Dollar,12971.84,US Dollar,Reinvestment,0
2022/09/01 00:08,1,8001093C0,1,8001093C0,3.35,US Dollar,3.35,US Dollar,Reinvestment,0
2022/09/01 00:20,3619,8003BE500,3619,8003BE500,1418.43,US Dollar,1418.43,US Dollar,Reinvestment,0
2022/09/01 00:28,12,800229520,10,8003A8AB0,11326.29,US Dollar,11326.29,US Dollar,Wire,0
2022/09/01 00:22,220,8002BBBC0,1665,8003DAEE0,1123135.25,US Dollar,1123135.25,US Dollar,ACH,0
2022/09/01 00:03,10,800056660,10,800056660,1134.32,US Dollar,1134.32,US Dollar,Credit Card,0
2022/09/01 00:27,12,80010F6E0,8595,8123576A0,39.77,US Dollar,39.77,US Dollar,Credit Card,0
2022/09/01 00:10,12,800409CB0,12,800409CB0,9.7,US Dollar,9.7,US Dollar,Reinvestment,0
2022/09/01 00:00,3209,8003F5E60,3209,8003F5E60,8306.68,US Dollar,8306.68,US Dollar,Reinvestment,0
2022/09/01 00:27,10,800134B60,10,800134B60,5.03,US Dollar,5.03,US Dollar,Reinvestment,0
2022/09/01 00:22,1420,800301DD0,1420,800301DD0,5.11,US Dollar,5.11,US Dollar,Reinvestment,0
2022/09/01 00:25,1588,80034C2E0,1588,80034C2E0,14.46,US Dollar,14.46,US Dollar,Reinvestment,0
2022/09/01 00:10,10,80041DD00,10,80041DD00,128499.22,US Dollar,128499.22,US Dollar,Reinvestment,0
2022/09/01 00:07,10,8001E7410,10,8001E7410,18.91,US Dollar,18.91,US Dollar,Reinvestment,0
2022/09/01 00:05,12,80022A3F0,12,80025CBF0,30659.92,US Dollar,30659.92,US Dollar,Cash,0
2022/09/01 00:17,1,80014BA70,1,80014BA70,3.36,US Dollar,3.36,US Dollar,Reinvestment,0
2022/09/01 00:22,1362,8003426B0,1362,8003426B0,22.09,US Dollar,22.09,US Dollar,Reinvestment,0
2022/09/01 00:20,12,80005D3B0,12,80005D3B0,146758.59,US Dollar,146758.59,US Dollar,Reinvestment,0
2022/09/01 00:22,12,8000F7C60,10,800223A20,2823.61,US Dollar,2823.61,US Dollar,Wire,0
2022/09/01 00:00,3211,80019ACF0,3211,80019ACF0,17006.28,US Dollar,17006.28,US Dollar,Reinvestment,0
2022/09/01 00:28,1,8000F4D20,1,8000F4D20,55925.32,US Dollar,55925.32,US Dollar,Reinvestment,0
2022/09/01 00:17,1,80019AA50,220,800187940,142782.0,US Dollar,142782.0,US Dollar,Cheque,0
2022/09/01 00:02,10,800173690,10,800173690,4469344.13,US Dollar,4469344.13,US Dollar,Reinvestment,0
2022/09/01 00:01,12,8001E0E20,12,8001E0E20,822.7,US Dollar,822.7,US Dollar,Reinvestment,0
2022/09/01 00:25,1,800389B80,1,800389B80,7677.6,US Dollar,7677.6,US Dollar,Reinvestment,0
2022/09/01 00:08,1,800268220,17729,802EAF7D0,34.68,US Dollar,34.68,US Dollar,Credit Card,0
2022/09/01 00:24,10,8003F1570,227786,80B15F9F0,42.28,US Dollar,42.28,US Dollar,Credit Card,0
2022/09/01 00:03,3284,8001DDC00,1292,8001DDB60,1290.78,US Dollar,1290.78,US Dollar,ACH,0
2022/09/01 00:16,10,800137EF0,10,800137EF0,20.16,US Dollar,20.16,US Dollar,Reinvestment,0
2022/09/01 00:04,10,800118D50,12,8002B7700,13881.19,US Dollar,13881.19,US Dollar,Cash,0
2022/09/01 00:29,70,100428660,1362,8002589A0,26348.38,US Dollar,26348.38,US Dollar,Cheque,0
2022/09/01 00:12,1,8000F8AB0,1,8000F8AB0,1246.15,US Dollar,1246.15,US Dollar,Reinvestment,0
2022/09/01 00:06,10,80011D3F0,10,8003B5DC0,3450.55,US Dollar,3450.55,US Dollar,Cheque,0
2022/09/01 00:05,513,8003E12C0,513,8003E12C0,3690.94,US Dollar,3690.94,US Dollar,Reinvestment,0
2022/09/01 00:25,220,800269450,220,800269450,811.72,US Dollar,811.72,US Dollar,Reinvestment,0
2022/09/01 00:17,10,8002B9030,10,8002B9030,386835.34,US Dollar,386835.34,US Dollar,Reinvestment,0
2022/09/01 00:19,10,800111330,10,800111330,13283.45,US Dollar,13283.45,US Dollar,Reinvestment,0
2022/09/01 00:04,1,8001142C0,220,800102D10,25159.4,US Dollar,25159.4,US Dollar,ACH,0
2022/09/01 00:16,10,8003A69A0,13145,803195830,1.53,US Dollar,1.53,US Dollar,Credit Card,0
2022/09/01 00:27,220,800154160,220,800154160,16.3,US Dollar,16.3,US Dollar,Reinvestment,0
2022/09/01 00:24,1362,8001E6560,1362,8001E6560,3140.76,US Dollar,3140.76,US Dollar,Reinvestment,0
2022/09/01 00:22,1,8002EC7F0,1,8002EC7F0,2857612.93,US Dollar,2857612.93,US Dollar,Reinvestment,0
2022/09/01 00:05,220,80012A570,220,80012A570,4.98,US Dollar,4.98,US Dollar,Reinvestment,0
2022/09/01 00:01,1,80011DB20,1674,800406D80,343.1,US Dollar,343.1,US Dollar,Credit Card,0
2022/09/01 00:17,10,800405520,10,800405520,10.64,US Dollar,10.64,US Dollar,Reinvestment,0
2022/09/01 00:29,10,8001D2B30,10,8001D2B30,55447.01,US Dollar,55447.01,US Dollar,Reinvestment,0
2022/09/01 00:08,220,800163FD0,220,800163FD0,3473.33,US Dollar,3473.33,US Dollar,Reinvestment,0
2022/09/01 00:13,10,8001EB460,10,8001EB460,183.09,US Dollar,183.09,US Dollar,Reinvestment,0
2022/09/01 00:06,1292,800300A30,1292,800300A30,17423.2,US Dollar,17423.2,US Dollar,Reinvestment,0
2022/09/01 00:01,3420,800410F70,3420,800410F70,10371.53,US Dollar,10371.53,US Dollar,Reinvestment,0
2022/09/01 00:07,10,80040E520,10,80040E520,22.71,US Dollar,22.71,US Dollar,Reinvestment,0
2022/09/01 00:23,220,8003D4090,220,8003D4090,156235.86,US Dollar,156235.86,US Dollar,Reinvestment,0
2022/09/01 00:05,1,8003A50D0,1,8003A50D0,662.77,US Dollar,662.77,US Dollar,Reinvestment,0
2022/09/01 00:07,1362,800332400,1362,800332400,4966.07,US Dollar,4966.07,US Dollar,Reinvestment,0
2022/09/01 00:29,1,8000EEF40,1,8000EEF40,9.09,US Dollar,9.09,US Dollar,Reinvestment,0
2022/09/01 00:27,10,8003C3DA0,10,8003C3DA0,63926.48,US Dollar,63926.48,US Dollar,Reinvestment,0
2022/09/01 00:27,1362,80021C870,1362,80021C870,5.17,US Dollar,5.17,US Dollar,Reinvestment,0
2022/09/01 00:24,1,80005C0A0,1588,8003AC470,23932.75,US Dollar,23932.75,US Dollar,Cash,0
2022/09/01 00:29,1,800163DF0,1,800163DF0,12.23,US Dollar,12.23,US Dollar,Reinvestment,0
2022/09/01 00:18,1,80015D9D0,1,80015D9D0,9.82,US Dollar,9.82,US Dollar,Reinvestment,0
2022/09/01 00:27,12,80030BD90,12,80030BD90,22.77,US Dollar,22.77,US Dollar,Reinvestment,0
2022/09/01 00:01,12,80005B5F0,12,80005B5F0,24.37,US Dollar,24.37,US Dollar,Reinvestment,0
2022/09/01 00:28,1420,8005F2D30,1420,8005F2D30,8163.85,US Dollar,8163.85,US Dollar,Reinvestment,0
2022/09/01 00:08,1420,8003D2D40,1420,8003D2D40,146949.37,US Dollar,146949.37,US Dollar,Reinvestment,0
2022/09/01 00:11,3469,800252040,1420,800251BB0,0.01,US Dollar,0.01,US Dollar,Cheque,0
2022/09/01 00:03,1,80019A640,1,80019A640,7492.99,US Dollar,7492.99,US Dollar,Reinvestment,0
2022/09/01 00:23,10,8002CAD40,10,8002CAD40,680906.65,US Dollar,680906.65,US Dollar,Reinvestment,0
2022/09/01 00:12,1,8001117A0,1,8001117A0,10.36,US Dollar,10.36,US Dollar,Reinvestment,0
2022/09/01 00:22,1674,800AC8E30,1674,800AC8E30,4295104.54,US Dollar,4295104.54,US Dollar,Reinvestment,0
2022/09/01 00:02,220,80014BF30,10,800182360,15958.59,US Dollar,15958.59,US Dollar,ACH,0
2022/09/01 00:24,70,100428660,1665,8003C71D0,300.16,US Dollar,300.16,US Dollar,Cash,0
2022/09/01 00:17,12,80018EE40,10,800194520,12135.55,US Dollar,12135.55,US Dollar,ACH,0
2022/09/01 00:24,10,8001520E0,1588,8003BEB90,4344.23,US Dollar,4344.23,US Dollar,Credit Card,0
2022/09/01 00:19,10,8001A6E90,10,8001A6E90,1631299.78,US Dollar,1631299.78,US Dollar,Reinvestment,0
2022/09/01 00:22,1292,800213AD0,1292,800213AD0,326697.77,US Dollar,326697.77,US Dollar,Reinvestment,0
2022/09/01 00:21,1,8000EDEC0,211050,80AEF5310,383.71,US Dollar,383.71,US Dollar,Credit Card,0
2022/09/01 00:12,3290,8002C68D0,513,8002C6880,43322.6,US Dollar,43322.6,US Dollar,ACH,0
2022/09/01 00:27,12,800425A40,12,800425A40,17.48,US Dollar,17.48,US Dollar,Reinvestment,0
2022/09/01 00:08,1601,80034AD40,1601,80034AD40,26756.18,US Dollar,26756.18,US Dollar,Reinvestment,0
2022/09/01 00:01,220,8002BBBC0,1665,8003DAEE0,16842627.73,US Dollar,16842627.73,US Dollar,Cash,0
